Column A,Column B,Column C,Column D,Column E,Column F,Column G,Column H,Column I,Column J,Column K,Column L,Column M,Column N,Column O,Column P,Column Q,Column R,Column S
Nominal A.3,Nominal B.1,Nominal C.1,0,10/28/21,-8.598211585,Ordinal G.7,FALSE,0.50325397,,,,,TRUE,32.34533226,Nominal P.4,0.687037105,0.827257753,3
Nominal A.3,Nominal B.3,Nominal C.3,2,3/20/21,9.991930881,,FALSE,,,718069,,,,1.944196787,Nominal P.6,0.904425295,0.951271148,
Nominal A.3,,Nominal C.2,3,5/16/21,,Ordinal G.4,TRUE,0.429076429,369814,371222,507536,,FALSE,35.75907279,,0.702993031,0.001579335,
Nominal A.2,Nominal B.1,Nominal C.2,9,4/16/23,-9.593791217,Ordinal G.7,FALSE,0.071508542,549466,430559,,Ordinal M.3,,10.1866034,Nominal P.6,0.39262906,,0
Nominal A.5,Nominal B.3,Nominal C.2,9,2/4/18,,Ordinal G.8,FALSE,,152963,227697,221929,Ordinal M.4,FALSE,3.923541058,Nominal P.1,0.943737283,0.573728486,1
Nominal A.5,Nominal B.1,Nominal C.1,0,7/30/17,8.000169019,,FALSE,0.385525034,,668830,735825,Ordinal M.2,,38.58242669,Nominal P.3,0.668988872,0.706390576,3
Nominal A.4,Nominal B.1,Nominal C.3,9,9/4/23,-3.276804299,Ordinal G.8,FALSE,0.121798785,578370,,432674,,,21.40965334,Nominal P.6,0.245270109,,7
Nominal A.1,Nominal B.3,Nominal C.3,2,4/3/22,2.152714564,Ordinal G.2,FALSE,,880085,277956,628527,,FALSE,34.71442026,Nominal P.1,0.975519152,0.422991597,
Nominal A.5,Nominal B.1,Nominal C.1,4,1/4/20,,,FALSE,0.061994416,859601,981861,189942,Ordinal M.2,FALSE,0.929464679,,0.413915155,0.618384315,
Nominal A.3,Nominal B.2,Nominal C.2,1,2/2/16,,Ordinal G.3,TRUE,0.498232428,,,867460,,TRUE,1.112915463,Nominal P.1,0.491878047,0.821334725,8
Nominal A.5,,Nominal C.1,1,6/15/18,,Ordinal G.7,FALSE,,350020,950725,954402,,,35.24063055,,,,4
Nominal A.5,,Nominal C.3,4,2/22/19,-6.054847562,,FALSE,0.863532009,682756,357033,545636,,TRUE,30.46117843,Nominal P.6,0.734175223,0.923382633,
Nominal A.3,Nominal B.6,Nominal C.1,0,7/11/19,-3.661373258,Ordinal G.1,FALSE,0.964552876,795224,865519,,Ordinal M.3,,32.45049009,,0.071608748,0.963527893,
Nominal A.1,Nominal B.2,Nominal C.2,5,3/1/22,3.554091115,,FALSE,0.47835046,,,75814,,,45.97033112,,0.163196238,0.142034376,5
Nominal A.2,Nominal B.3,Nominal C.1,4,8/11/22,,Ordinal G.3,TRUE,0.11577434,998227,409365,998314,,TRUE,19.66582157,Nominal P.5,0.503840567,0.680663078,
Nominal A.3,Nominal B.1,Nominal C.1,6,9/20/22,8.534600192,Ordinal G.2,TRUE,0.831815396,338986,,630656,,TRUE,0.653635395,Nominal P.4,0.883555339,,8
Nominal A.4,Nominal B.1,Nominal C.1,6,4/9/22,-3.230411979,Ordinal G.5,FALSE,,42966,677077,170648,,TRUE,24.66134723,,0.523094086,0.753804382,0
Nominal A.2,Nominal B.6,Nominal C.3,6,12/2/16,6.491148575,,FALSE,0.054104321,952089,,,Ordinal M.4,TRUE,,Nominal P.6,0.631510863,0.566995607,5
Nominal A.1,Nominal B.6,Nominal C.3,1,8/15/22,,Ordinal G.7,FALSE,0.159979414,125890,772926,609820,Ordinal M.1,FALSE,48.77715653,,0.059006758,0.064125878,
Nominal A.4,Nominal B.4,Nominal C.3,1,6/16/20,-4.480083181,Ordinal G.2,TRUE,0.992636569,561759,372655,870540,Ordinal M.3,TRUE,,Nominal P.2,0.212009253,0.652414046,4
Nominal A.2,,Nominal C.1,6,11/20/17,4.539594315,Ordinal G.4,FALSE,0.443752962,424628,507856,743062,,,40.02857796,Nominal P.2,0.879997975,0.691658161,9
Nominal A.4,,Nominal C.1,2,6/25/22,-8.479524291,Ordinal G.7,FALSE,0.105474448,,271901,793896,,,23.09006047,Nominal P.2,0.814239235,0.518791272,1
Nominal A.2,Nominal B.4,Nominal C.2,9,8/30/18,3.788870546,Ordinal G.1,FALSE,0.729434749,809088,,421550,Ordinal M.1,,0.749934082,,0.567288598,,
Nominal A.3,,Nominal C.2,5,5/10/19,,Ordinal G.5,FALSE,0.026941011,164306,361539,133276,,,,,0.089264564,,
Nominal A.2,Nominal B.6,Nominal C.2,3,3/2/20,-4.338593598,Ordinal G.6,FALSE,0.267185868,353491,751046,692311,Ordinal M.4,FALSE,26.47445414,,0.221400115,0.608131824,
Nominal A.5,Nominal B.7,Nominal C.2,2,7/13/22,-4.03944428,Ordinal G.1,FALSE,,935202,201009,519691,Ordinal M.1,TRUE,27.56650554,Nominal P.5,0.637263734,0.382857968,
Nominal A.2,Nominal B.5,Nominal C.1,0,11/21/18,-0.97284165,Ordinal G.2,FALSE,0.59629195,,483120,408308,,,46.32601059,Nominal P.3,0.209637078,,2
Nominal A.3,Nominal B.3,Nominal C.2,6,11/7/21,,Ordinal G.5,FALSE,0.956211246,856894,,387646,,TRUE,,,0.850094953,0.562554383,
Nominal A.5,Nominal B.2,Nominal C.3,0,8/31/23,-1.001615433,,FALSE,0.441308008,469258,600293,40250,Ordinal M.3,TRUE,35.9946236,Nominal P.4,0.848754927,0.912206272,
Nominal A.2,,Nominal C.3,4,3/5/21,5.929989307,Ordinal G.1,FALSE,0.520690071,296301,51183,119539,,FALSE,45.02673652,,0.558564366,,
Nominal A.1,,Nominal C.3,0,2/18/17,3.00915552,Ordinal G.1,FALSE,0.5797487,582931,217113,223220,,,8.589045419,,0.412831842,0.396535452,0
Nominal A.5,Nominal B.7,Nominal C.3,0,7/23/21,-0.126619353,,FALSE,,594402,707105,602035,Ordinal M.2,TRUE,,Nominal P.2,0.910480602,,
Nominal A.2,,Nominal C.3,9,12/15/21,-9.263998607,Ordinal G.4,FALSE,0.893672327,643731,,,Ordinal M.4,,5.19408096,Nominal P.3,0.684006324,0.007241905,
Nominal A.5,Nominal B.7,Nominal C.3,0,10/24/17,5.706335643,Ordinal G.3,FALSE,0.34281773,,,254223,Ordinal M.1,,24.76242997,,0.596187427,0.269478438,3
Nominal A.4,Nominal B.3,Nominal C.1,6,5/25/16,0.907363393,,FALSE,0.110044551,472193,348013,33855,Ordinal M.1,FALSE,15.41436551,Nominal P.6,0.774171617,0.19563769,5
Nominal A.5,Nominal B.6,Nominal C.3,1,6/26/18,-5.584678305,Ordinal G.2,TRUE,0.012504848,175894,,592806,,,3.415254143,Nominal P.5,0.499834573,0.908184083,
Nominal A.1,Nominal B.3,Nominal C.1,7,8/2/17,-1.916746125,Ordinal G.6,FALSE,,236707,446115,,,TRUE,,Nominal P.4,0.15854671,0.018499816,7
Nominal A.5,Nominal B.7,Nominal C.1,6,7/11/21,8.768969779,,FALSE,,430862,879297,,,FALSE,23.77661191,Nominal P.6,0.045394108,0.398309202,3
Nominal A.2,Nominal B.7,Nominal C.3,3,5/29/19,,Ordinal G.1,FALSE,0.812372696,517441,434833,518834,,FALSE,,Nominal P.5,0.65872789,0.971336331,1
Nominal A.2,Nominal B.7,Nominal C.3,5,9/3/20,-1.085299006,,TRUE,,719822,345283,465064,,,39.78856801,Nominal P.1,0.888201895,0.984802972,5
Nominal A.4,Nominal B.7,Nominal C.3,1,7/7/23,7.219255303,Ordinal G.7,TRUE,0.996479168,218509,266807,,Ordinal M.3,TRUE,30.54011865,Nominal P.1,,0.741190602,1
Nominal A.1,Nominal B.7,Nominal C.3,1,5/30/22,-5.29642633,,FALSE,,,919724,89067,,,6.622705381,Nominal P.2,0.561885572,0.61742338,6
Nominal A.3,Nominal B.3,Nominal C.2,9,11/14/17,3.987589624,Ordinal G.2,FALSE,0.858038976,895468,590847,20564,Ordinal M.4,TRUE,22.44055142,Nominal P.2,0.284263383,0.777251239,6
Nominal A.4,Nominal B.7,Nominal C.1,7,1/20/20,,Ordinal G.5,FALSE,0.692227242,640351,334655,473487,Ordinal M.2,FALSE,15.56706906,,0.108096885,,
Nominal A.1,Nominal B.3,Nominal C.2,5,11/22/19,,Ordinal G.6,FALSE,,123586,32191,468403,,,7.100617355,Nominal P.4,0.711842279,0.005997403,9
Nominal A.5,Nominal B.3,Nominal C.2,4,6/9/18,5.497958708,Ordinal G.2,FALSE,0.902720403,257893,563395,104727,,,43.19375444,,0.94471992,0.966822349,9
Nominal A.1,,Nominal C.3,8,3/6/20,,,FALSE,0.911072504,140456,225983,308722,,,1.542932528,Nominal P.1,0.907767119,,0
Nominal A.1,Nominal B.6,Nominal C.1,8,11/19/16,-5.84737232,Ordinal G.3,FALSE,0.603048432,192770,22791,183174,Ordinal M.2,,41.97053216,Nominal P.5,0.945092566,0.191184235,8
Nominal A.3,Nominal B.7,Nominal C.3,2,7/8/20,-0.270993696,Ordinal G.8,FALSE,0.183873245,84948,23486,991869,Ordinal M.1,FALSE,8.669386859,,0.732621457,0.407200751,1
Nominal A.5,Nominal B.5,Nominal C.3,9,8/18/21,7.042080344,Ordinal G.4,FALSE,0.569437541,746115,776154,358044,Ordinal M.3,,26.16570571,,0.301885285,,7
Nominal A.4,Nominal B.6,Nominal C.1,4,11/26/16,,Ordinal G.8,FALSE,,813498,404182,459875,,FALSE,46.20321356,,0.231303642,0.925023509,8
Nominal A.4,Nominal B.2,Nominal C.2,4,7/22/20,-1.980889193,Ordinal G.7,FALSE,,681039,,242788,Ordinal M.2,TRUE,47.66993039,Nominal P.1,0.055873771,0.34337497,5
Nominal A.5,Nominal B.1,Nominal C.1,5,11/13/16,-2.262517139,Ordinal G.2,FALSE,,156548,89526,,,FALSE,,Nominal P.2,0.757332981,0.750454267,
Nominal A.2,Nominal B.4,Nominal C.2,8,2/9/16,2.267777219,Ordinal G.4,TRUE,,423709,,423022,,,43.09569396,Nominal P.5,0.099398638,0.753656846,
Nominal A.4,Nominal B.2,Nominal C.2,6,2/8/20,-0.240728446,,TRUE,0.574819587,938104,366961,255018,,,47.50170761,Nominal P.2,0.230961148,0.645697749,
Nominal A.4,Nominal B.7,Nominal C.3,8,6/13/18,-9.256934314,,FALSE,,,946504,162231,,TRUE,45.75066652,,0.841431742,0.91676451,4
Nominal A.4,Nominal B.7,Nominal C.3,6,4/26/20,7.8338389,Ordinal G.6,FALSE,,9518,,187868,,,0.509744784,Nominal P.4,0.932064193,0.761225104,4
Nominal A.2,Nominal B.5,Nominal C.2,6,12/18/22,1.92769928,Ordinal G.3,FALSE,0.233282084,991378,725201,,Ordinal M.1,,,,0.298686186,,5
Nominal A.5,Nominal B.6,Nominal C.2,6,5/23/23,0.088786016,Ordinal G.6,TRUE,0.454712388,792473,175090,1532,Ordinal M.2,,25.05017256,,0.030295216,0.170675798,8
Nominal A.1,,Nominal C.1,8,5/6/19,4.822206235,Ordinal G.6,FALSE,0.425498109,494196,239659,571752,,,13.28082955,Nominal P.6,0.15426971,0.788398626,
Nominal A.5,Nominal B.5,Nominal C.2,4,10/31/22,2.301864985,Ordinal G.4,FALSE,0.46102333,318550,,,,TRUE,15.57154545,Nominal P.2,0.310883924,0.389720551,
Nominal A.3,Nominal B.2,Nominal C.3,8,8/13/23,-6.393433209,Ordinal G.3,TRUE,0.989498126,774193,632279,995854,,TRUE,,Nominal P.5,0.953490458,0.270586519,
Nominal A.1,Nominal B.5,Nominal C.3,1,9/11/17,-4.598638537,Ordinal G.6,FALSE,,,262666,469951,,FALSE,44.00090636,Nominal P.2,0.148394385,0.380058546,9
Nominal A.1,Nominal B.6,Nominal C.3,2,9/16/17,-6.588453698,Ordinal G.4,FALSE,,460076,987117,537148,Ordinal M.4,FALSE,13.45433434,,0.952674592,0.592605686,
Nominal A.3,Nominal B.3,Nominal C.3,8,6/30/18,7.73872608,,TRUE,,841420,786353,132512,,,17.50209776,Nominal P.4,0.950079374,0.970423019,4
Nominal A.4,Nominal B.7,Nominal C.3,9,5/13/21,-3.80436851,,FALSE,,973587,,145723,,FALSE,29.84074705,,0.412101736,0.788940749,6
Nominal A.5,Nominal B.1,Nominal C.3,9,3/4/23,-8.332816759,,FALSE,0.184077392,789250,384035,222098,Ordinal M.3,TRUE,26.96830716,Nominal P.5,0.608780206,0.303426944,
Nominal A.3,Nominal B.1,Nominal C.2,5,5/26/18,,Ordinal G.2,TRUE,,3600,831117,651322,,TRUE,25.67345569,Nominal P.4,0.815173211,0.243464485,
Nominal A.5,Nominal B.2,Nominal C.1,2,7/6/20,3.431228911,Ordinal G.8,FALSE,0.462657436,,353305,415609,,,4.657560227,,0.170738096,0.549273599,
Nominal A.1,,Nominal C.3,4,12/9/16,,Ordinal G.4,FALSE,,874710,,916322,,FALSE,,Nominal P.2,0.564009003,0.79262433,6
Nominal A.4,Nominal B.1,Nominal C.2,4,12/8/23,-8.276765582,,FALSE,,888317,,877250,,,,Nominal P.1,0.578222233,0.545168847,
Nominal A.3,Nominal B.6,Nominal C.3,5,3/18/21,5.088711356,Ordinal G.6,FALSE,,,,478370,,TRUE,,Nominal P.5,0.76292323,0.134331932,
Nominal A.1,Nominal B.6,Nominal C.1,9,12/28/16,-8.016379465,Ordinal G.5,FALSE,,429795,981170,,,FALSE,,Nominal P.5,0.664123812,0.123231528,1
Nominal A.3,Nominal B.6,Nominal C.3,4,7/13/16,-7.459057955,,FALSE,0.150302499,303614,392965,878939,,FALSE,,Nominal P.5,0.263605637,0.229604185,1
Nominal A.2,Nominal B.6,Nominal C.2,1,10/26/21,4.291571405,Ordinal G.5,TRUE,0.205005985,57108,362787,215035,,FALSE,,,0.191696405,0.228095415,0
Nominal A.1,Nominal B.2,Nominal C.1,9,10/11/22,-4.626658324,Ordinal G.6,FALSE,0.679740559,,200858,,,TRUE,47.04464317,Nominal P.6,0.440036132,0.4608439,6
Nominal A.2,Nominal B.7,Nominal C.2,9,11/30/17,-2.269795985,Ordinal G.4,FALSE,0.314742515,449374,,342198,,,3.864192868,Nominal P.3,0.024667869,,
Nominal A.3,Nominal B.2,Nominal C.3,6,2/8/16,0.336160476,Ordinal G.4,FALSE,,603919,502267,705103,,,,,0.602961931,0.135520682,0
Nominal A.5,Nominal B.1,Nominal C.1,4,10/17/17,-0.975817565,,FALSE,0.070415181,997388,847547,,,FALSE,29.2029577,Nominal P.2,,0.158203223,
Nominal A.1,Nominal B.4,Nominal C.1,3,3/19/18,-9.944578489,Ordinal G.2,FALSE,,644024,667095,726320,,FALSE,,,0.312768462,0.515515586,7
